#n 	 E_n 	 <H> 	 <H_dir> 	 <H_exc> 	 <H_0> 	 E_B (eV)
0  0.070177077765  0.070177077765  0.005495862684  -0.000000004914   0.075672935535  -0.149549984127
1  0.070544555575  0.070544555575  0.005201870538  -0.000307985654   0.075438440459  -0.133169459134
2  0.070544555576  0.070544555576  0.005201870536  -0.000307985655   0.075438440457  -0.133169459056
3  0.070544555578  0.070544555578  0.005201870530  -0.000307985655   0.075438440453  -0.133169458882
4  0.072267774138  0.072267774138  0.005699975007  -0.000013695802   0.077954053343  -0.154731617965
5  0.072267774146  0.072267774146  0.005699974985  -0.000013695803   0.077954053328  -0.154731617327
6  0.072267774154  0.072267774154  0.005699974965  -0.000013695802   0.077954053317  -0.154731616822
7  0.072471766286  0.072471766286  0.005638597967  -0.000123262703   0.077987101550  -0.150079993991
8  0.072471766290  0.072471766290  0.005638597955  -0.000123262703   0.077987101542  -0.150079993676
9  0.072471766294  0.072471766294  0.005638597945  -0.000123262701   0.077987101537  -0.150079993439
10  0.072693355902  0.072693355902  0.005374509477  -0.000361687787   0.077706177592  -0.136405896126
11  0.072693355905  0.072693355905  0.005374509466  -0.000361687786   0.077706177586  -0.136405895877
12  0.072693355906  0.072693355906  0.005374509462  -0.000361687785   0.077706177584  -0.136405895794
13  0.073076249650  0.073076249650  0.004946055825  -0.000581888413   0.077440417062  -0.118755105123
14  0.073076249653  0.073076249653  0.004946055816  -0.000581888412   0.077440417056  -0.118755104880
15  0.073518910467  0.073518910467  0.004734621723  -0.000850061776   0.077403470414  -0.105704314539
16  0.074200621320  0.074200621320  0.003268761943  -0.000002475955   0.077466907309  -0.088880214557
17  0.074200621320  0.074200621320  0.003268761943  -0.000002475955   0.077466907308  -0.088880214538
18  0.074200621320  0.074200621320  0.003268761943  -0.000002475955   0.077466907308  -0.088880214536
19  0.074280137445  0.074280137445  0.003338473404  -0.000045430364   0.077573180486  -0.089608311400
20  0.074304418885  0.074304418885  0.003282782660  -0.000021393822   0.077565807723  -0.088746956230
21  0.074304418885  0.074304418885  0.003282782660  -0.000021393822   0.077565807723  -0.088746956213
22  0.074304418886  0.074304418886  0.003282782659  -0.000021393822   0.077565807723  -0.088746956198
23  0.074325004110  0.074325004110  0.003323838260  -0.000046580368   0.077602262003  -0.089178775416
24  0.074325004110  0.074325004110  0.003323838259  -0.000046580368   0.077602262002  -0.089178775395
