#n 	 E_n 	 <H> 	 <H_dir> 	 <H_exc> 	 <H_0> 	 E_B (eV)
0  0.080147274483  0.080147274483  0.013949917749  -0.000176019968   0.093921172264  -0.374807042079
1  0.082252528224  0.082252528224  0.011975012550  -0.001565075233   0.092662465541  -0.283268968303
2  0.082481026678  0.082481026678  0.011885330543  -0.001504874941   0.092861482281  -0.282466729593
3  0.082614186685  0.082614186685  0.011676384309  -0.001768395809   0.092522175185  -0.269610238258
4  0.086312266348  0.086312266348  0.016148718510  -0.000252528809   0.102208456048  -0.432557576418
5  0.086540791924  0.086540791924  0.016120370734  -0.000273779124   0.102387383535  -0.431207942943
6  0.087763964720  0.087763964720  0.015374632523  -0.000836936073   0.102301661169  -0.395591073175
7  0.088936881162  0.088936881162  0.014925037391  -0.001317882280   0.102544036273  -0.370269740591
8  0.088951871597  0.088951871597  0.014382790629  -0.001635832283   0.101698829943  -0.346862582346
9  0.089147599317  0.089147599317  0.014271050040  -0.001720142972   0.101698506384  -0.341527752576
10  0.089455596009  0.089455596009  0.012665734871  -0.001752306246   0.100369024634  -0.296969671683
11  0.089798356289  0.089798356289  0.013258319832  -0.002086728890   0.100969947231  -0.303994629765
12  0.089852021389  0.089852021389  0.017677601193  -0.000141723379   0.107387899204  -0.477175785557
13  0.090208911740  0.090208911740  0.017587736295  -0.000180662282   0.107615985752  -0.473670853774
14  0.090247675612  0.090247675612  0.012630104898  -0.002157448405   0.100720332104  -0.284975644877
15  0.090768372515  0.090768372515  0.013516245791  -0.001702062356   0.102582555950  -0.321480471115
16  0.091320485304  0.091320485304  0.011914720995  -0.001586997998   0.101648208300  -0.281031801545
17  0.091358873815  0.091358873815  0.011890051118  -0.001608542555   0.101640382378  -0.279774242117
18  0.091773933345  0.091773933345  0.008935463718  -0.000379668583   0.100329728480  -0.232815163736
19  0.091804728523  0.091804728523  0.008893856978  -0.000318216454   0.100380369048  -0.233355184568
20  0.091889693036  0.091889693036  0.008367300899  -0.000091400324   0.100165593610  -0.225198840903
21  0.092208451254  0.092208451254  0.014825785791  -0.001362824677   0.105671412368  -0.366346020046
22  0.092246824261  0.092246824261  0.014545672149  -0.001424929038   0.105367567372  -0.357033789087
23  0.092256076422  0.092256076422  0.008120662519  -0.000148683165   0.100228055776  -0.216928719018
24  0.092325208670  0.092325208670  0.007966324035  -0.000097064679   0.100194468026  -0.214133564036
25  0.092507311643  0.092507311643  0.017932495414  -0.000374284951   0.110065522106  -0.477783488186
26  0.092519718571  0.092519718571  0.008294069743  -0.000111771399   0.100702016916  -0.222651793162
27  0.092599348219  0.092599348219  0.008565369506  -0.000200804465   0.100963913260  -0.227611525155
28  0.092910094686  0.092910094686  0.008990050668  -0.000579743341   0.101320402013  -0.228856236803
29  0.093122200619  0.093122200619  0.014819292357  -0.002144809937   0.105796683040  -0.344890410946
30  0.093192186493  0.093192186493  0.014510407623  -0.002171730981   0.105530863135  -0.335752665574
31  0.093614407633  0.093614407633  0.017474974677  -0.000469390232   0.110619992078  -0.462745760553
32  0.093745647532  0.093745647532  0.013995547297  -0.002110353916   0.105630840912  -0.323412751164
33  0.093905237358  0.093905237358  0.013845297679  -0.002258962713   0.105491572324  -0.315280395292
34  0.093931682128  0.093931682128  0.008263795120  -0.000078301096   0.102117176151  -0.222738752064
35  0.093937682243  0.093937682243  0.008233997785  -0.000079619822   0.102092060206  -0.221892040510
36  0.093958981027  0.093958981027  0.008087855883  -0.000018025080   0.102028811830  -0.219591393914
37  0.094117821691  0.094117821691  0.008336057947  -0.000365701933   0.102088177705  -0.216884545639
38  0.094414925432  0.094414925432  0.017424435297  -0.000563535212   0.111275825517  -0.458808696579
39  0.094627062246  0.094627062246  0.017519929293  -0.000572020636   0.111574970903  -0.461176321643
40  0.095626292137  0.095626292137  0.015219324644  -0.001473741648   0.109371875133  -0.374036557135
41  0.096355243027  0.096355243027  0.014051765768  -0.002101096975   0.108305911820  -0.325194428813
42  0.096530781741  0.096530781741  0.014840679370  -0.002195997090   0.109175464021  -0.344079507397
43  0.096571669793  0.096571669793  0.012642246294  -0.000629600188   0.108584315899  -0.326880918250
44  0.096681379804  0.096681379804  0.015211402479  -0.001996291240   0.109896491044  -0.359601677977
45  0.096819176508  0.096819176508  0.018736003684  -0.000623489057   0.114931691136  -0.492866880547
46  0.096932241495  0.096932241495  0.011722097572  -0.000744458870   0.107909880198  -0.298716917786
47  0.097034882836  0.097034882836  0.013274106229  -0.001842785411   0.108466203653  -0.311062243301
48  0.097081188962  0.097081188962  0.012644288730  -0.001200411377   0.108525066314  -0.311403924182
49  0.097107611608  0.097107611608  0.018546417684  -0.000685459409   0.114968569883  -0.486021680006
50  0.097373809454  0.097373809454  0.012115318205  -0.000623540999   0.108865586660  -0.312707346265
51  0.097457798509  0.097457798509  0.013349806403  -0.001158121304   0.109649483607  -0.331752819888
52  0.097462875653  0.097462875653  0.019635519721  -0.000375816024   0.116722579351  -0.524083501187
53  0.097561221021  0.097561221021  0.012937425486  -0.001058325228   0.109440321279  -0.323246948760
54  0.097567935333  0.097567935333  0.011650072752  -0.000961170668   0.108256837418  -0.290859990182
55  0.097632867291  0.097632867291  0.013655337535  -0.001909090006   0.109379114821  -0.319631840031
56  0.097696886587  0.097696886587  0.012088984661  -0.001218874413   0.108566996835  -0.295790918019
57  0.097746272354  0.097746272354  0.012232108265  -0.001379616638   0.108598763981  -0.295311490662
58  0.097773996651  0.097773996651  0.011694654567  -0.001206588116   0.108262063102  -0.285394971436
59  0.097783236487  0.097783236487  0.019466625941  -0.000515355557   0.116734506871  -0.515690598921
60  0.097846354065  0.097846354065  0.011919372899  -0.001034242987   0.108731483977  -0.296199624095
61  0.098224869583  0.098224869583  0.014673448622  -0.002150120034   0.110748198171  -0.340777303556
62  0.098434041070  0.098434041070  0.013182549619  -0.001274349380   0.110342241309  -0.324038799993
63  0.098566093610  0.098566093610  0.018840438141  -0.000984757720   0.116421774032  -0.485878062215
64  0.098641817970  0.098641817970  0.012155042246  -0.001553665870   0.109243194346  -0.288478293120
65  0.098840864673  0.098840864673  0.018374681494  -0.001081756253   0.116133789914  -0.470564705900
66  0.098912815481  0.098912815481  0.011979903654  -0.001555650853   0.109337068283  -0.283658512682
67  0.099042202960  0.099042202960  0.011486796666  -0.001174328580   0.109354671045  -0.280616694062
68  0.099181831276  0.099181831276  0.012141508633  -0.001386450557   0.109936889351  -0.292660187310
69  0.099244703942  0.099244703942  0.011814760251  -0.001424058094   0.109635406099  -0.282745552669
70  0.099460837895  0.099460837895  0.009347766530  -0.000432534178   0.108376070247  -0.242595953627
71  0.099528627900  0.099528627900  0.009094500865  -0.000313773677   0.108309355089  -0.238935879822
72  0.099584742692  0.099584742692  0.009050302704  -0.000125198391   0.108509847004  -0.242864583481
73  0.099676434456  0.099676434456  0.009141378193  -0.000287783993   0.108530028656  -0.240918693223
74  0.099836104969  0.099836104969  0.009227693607  -0.000356556318   0.108707242258  -0.241396065227
75  0.099867562277  0.099867562277  0.008654274204  -0.000272111263   0.108249725219  -0.228090388674
76  0.099980525380  0.099980525380  0.009149528989  -0.000368310110   0.108761744260  -0.238949259407
77  0.100006958512  0.100006958512  0.009168843677  -0.000401676794   0.108774125394  -0.238566884906
78  0.100054571852  0.100054571852  0.009290856293  -0.000390322014   0.108955106132  -0.242195998499
79  0.100110863340  0.100110863340  0.009972297494  -0.000224424803   0.109858736031  -0.265253262949
80  0.100144844155  0.100144844155  0.018230154170  -0.001584518251   0.116790480075  -0.452951057265
81  0.100260108011  0.100260108011  0.009913976268  -0.000375878916   0.109798205363  -0.259544982289
82  0.100316434532  0.100316434532  0.009735298964  -0.000426753082   0.109624980413  -0.253298565402
83  0.100334568616  0.100334568616  0.014706034597  -0.001477693577   0.113562909636  -0.359961678823
84  0.100397523948  0.100397523948  0.015024183154  -0.001605407573   0.113816299528  -0.365143669836
85  0.100445869203  0.100445869203  0.009268039256  -0.000589795974   0.109124112486  -0.236147149255
86  0.100484652180  0.100484652180  0.009118644755  -0.000518033187   0.109085263748  -0.234034681607
87  0.100515156916  0.100515156916  0.009451286161  -0.000586431857   0.109380011221  -0.241225096421
88  0.100683953787  0.100683953787  0.010427811199  -0.000563704165   0.110548060821  -0.268416162160
89  0.100822840675  0.100822840675  0.016598254116  -0.001505410795   0.115915683996  -0.410697396741
90  0.100995282176  0.100995282176  0.016677512822  -0.001804764749   0.115868030249  -0.404708296912
91  0.101015804641  0.101015804641  0.008739841726  -0.000073291667   0.109682354700  -0.235828960280
92  0.101074265719  0.101074265719  0.008575375836  -0.000110441444   0.109539200111  -0.230342715712
93  0.101084977844  0.101084977844  0.008614176156  -0.000140588512   0.109558565488  -0.230578182807
94  0.101161975275  0.101161975275  0.008290992307  -0.000116017932   0.109336949649  -0.222452497683
95  0.101266808138  0.101266808138  0.008588102327  -0.000111221102   0.109743689363  -0.230667805755
