#n 	 E_n 	 <H> 	 <H_dir> 	 <H_exc> 	 <H_0> 	 E_B (eV)
0  0.064805219168  0.064805219168  0.004819078740  -0.000009282059   0.069615015849  -0.130881301407
1  0.065002537583  0.065002537583  0.004613799201  -0.000185779970   0.069430556814  -0.120492602508
2  0.065012614141  0.065012614141  0.004605477286  -0.000192125329   0.069425966099  -0.120093485468
3  0.065133811882  0.065133811882  0.004456967785  -0.000273190378   0.069317589289  -0.113846440526
4  0.065653118316  0.065653118316  0.005055224848  -0.000011883729   0.070696459436  -0.137236372531
5  0.065803857551  0.065803857551  0.004929798746  -0.000102997497   0.070630658800  -0.131344019512
6  0.065845687285  0.065845687285  0.004960879334  -0.000079466360   0.070727100258  -0.132830080997
7  0.065949435365  0.065949435365  0.004907057702  -0.000147638852   0.070708854215  -0.129510450095
8  0.066046739006  0.066046739006  0.004804388892  -0.000267315676   0.070583812222  -0.123460114112
9  0.066113972939  0.066113972939  0.004840110324  -0.000189371465   0.070764711798  -0.126553115385
10  0.066423162090  0.066423162090  0.004485869545  -0.000401379524   0.070507652112  -0.111144691764
11  0.066480096611  0.066480096611  0.004327956634  -0.000491269714   0.070316783531  -0.104401622441
12  0.066720644813  0.066720644813  0.004980828638  -0.000037757640   0.071663715811  -0.134507882150
13  0.066724843243  0.066724843243  0.005362479911  -0.000012585164   0.072074737990  -0.145578125918
14  0.066884858496  0.066884858496  0.004812238237  -0.000177671349   0.071519425385  -0.126113053428
15  0.066903490084  0.066903490084  0.004812162823  -0.000197947737   0.071517705170  -0.125559252408
16  0.066946455923  0.066946455923  0.005228478401  -0.000190726839   0.071984207485  -0.137084272855
17  0.067118698497  0.067118698497  0.005044414772  -0.000268234162   0.071894879108  -0.129966561056
18  0.067276540172  0.067276540172  0.005015313296  -0.000384612129   0.071907241340  -0.126007861744
19  0.067419187847  0.067419187847  0.005127778120  -0.000019545019   0.072527420949  -0.139002174220
20  0.067480294686  0.067480294686  0.002774513988  -0.000008333995   0.070246474680  -0.075271630268
21  0.067497710450  0.067497710450  0.002774088616  -0.000023450634   0.070248348432  -0.074848710396
22  0.067501793564  0.067501793564  0.002767301684  -0.000028032985   0.070241062263  -0.074539336269
23  0.067509796299  0.067509796299  0.004784119519  -0.000027187327   0.072266728490  -0.129442784634
24  0.067515032751  0.067515032751  0.003883759954  -0.000463573180   0.070935219526  -0.093068070387
25  0.067522799523  0.067522799523  0.002752684887  -0.000041980226   0.070233504184  -0.073762068819
26  0.067558302368  0.067558302368  0.005025795110  -0.000117475405   0.072466622074  -0.133562250832
27  0.067606330784  0.067606330784  0.005205508046  -0.000048982570   0.072762856260  -0.140316277327
28  0.067631013037  0.067631013037  0.004716093506  -0.000192875196   0.072154231348  -0.123083102729
29  0.067661497759  0.067661497759  0.002672063354  -0.000000918275   0.070332642837  -0.072685597199
30  0.067667758563  0.067667758563  0.002666786802  -0.000004736444   0.070329808921  -0.072438117107
31  0.067670735190  0.067670735190  0.002659916370  -0.000011613774   0.070319037786  -0.072064021276
32  0.067698097623  0.067698097623  0.002838706603  -0.000098869226   0.070437935000  -0.074554810799
33  0.067724390211  0.067724390211  0.005182833348  -0.000056228141   0.072850995418  -0.139502104929
34  0.067738217821  0.067738217821  0.004807399778  -0.000190622145   0.072354995454  -0.125628982881
35  0.067758933969  0.067758933969  0.005085327673  -0.000118206382   0.072726055261  -0.135162324316
36  0.067783274800  0.067783274800  0.004857912977  -0.000286805801   0.072354381976  -0.124386225801
37  0.067889881116  0.067889881116  0.004285768968  -0.000295353548   0.071880296536  -0.108584790153
38  0.067947934274  0.067947934274  0.004521277566  -0.000310802935   0.072158408905  -0.114572909362
39  0.067980575686  0.067980575686  0.005035913913  -0.000285540919   0.072730948680  -0.129264299693
40  0.068187902646  0.068187902646  0.004690855594  -0.000386975011   0.072491783229  -0.117114616100
41  0.068200097466  0.068200097466  0.004835323260  -0.000433448550   0.072601972176  -0.119781173478
42  0.068263212780  0.068263212780  0.004653041588  -0.000433062219   0.072483192149  -0.114831546605
43  0.068337710733  0.068337710733  0.004732939879  -0.000423990111   0.072646660502  -0.117252555736
