#n 	 E_n 	 <H> 	 <H_dir> 	 <H_exc> 	 <H_0> 	 E_B (eV)
0  0.064651751682  0.064651751682  0.004081334673  -0.000004398650   0.068728687704  -0.110939136875
1  0.064788637133  0.064788637133  0.004036090699  -0.000137653669   0.068687074164  -0.106081929421
2  0.064799257291  0.064799257291  0.004033809960  -0.000147721409   0.068685345842  -0.105745910004
3  0.064867076944  0.064867076944  0.004003630905  -0.000210726639   0.068659981210  -0.103210235148
4  0.066084426685  0.066084426685  0.003949968546  -0.000004542813   0.070029852418  -0.107360557788
5  0.066215374554  0.066215374554  0.003929198589  -0.000100744562   0.070043828581  -0.104177593914
6  0.066221974304  0.066221974304  0.003938603652  -0.000136123642   0.070024454314  -0.103470804531
7  0.066352006090  0.066352006090  0.003919187478  -0.000240655537   0.070030538031  -0.100098004048
8  0.066555253511  0.066555253511  0.003868043620  -0.000006345986   0.070416951145  -0.105082199004
9  0.066663768980  0.066663768980  0.003861319929  -0.000105655358   0.070419433551  -0.102196890908
10  0.066774013905  0.066774013905  0.003859697713  -0.000253729393   0.070379982225  -0.098123446348
11  0.066841090103  0.066841090103  0.003839889139  -0.000305618639   0.070375360603  -0.096172448285
12  0.067295449305  0.067295449305  0.003783530077  -0.000009623458   0.071069355924  -0.102693282575
13  0.067361634630  0.067361634630  0.003705475224  -0.000077699762   0.070989410092  -0.098716849214
14  0.067387264107  0.067387264107  0.003779473747  -0.000110188772   0.071056549082  -0.099846381170
15  0.067552049555  0.067552049555  0.002687253304  -0.000000634339   0.070238668519  -0.073106663286
16  0.067561304313  0.067561304313  0.002707328634  -0.000014085282   0.070254547664  -0.073286922140
17  0.067573090742  0.067573090742  0.002770820434  -0.000022047890   0.070321863286  -0.074797949208
18  0.067573233091  0.067573233091  0.002745686050  -0.000041617882   0.070277301259  -0.073581480546
19  0.067682550300  0.067682550300  0.003648414099  -0.000353864698   0.070977099700  -0.089649301559
20  0.067807410509  0.067807410509  0.002685888911  -0.000000252389   0.070493047031  -0.073079929664
21  0.067810833128  0.067810833128  0.002690904903  -0.000001324421   0.070500413609  -0.073187250307
22  0.067811784978  0.067811784978  0.002690583586  -0.000005119272   0.070497249292  -0.073075243639
23  0.067831590597  0.067831590597  0.002813344969  -0.000060259146   0.070584676421  -0.074915319579
24  0.068402442634  0.068402442634  0.003241408089  -0.000003114988   0.071640735735  -0.088118488891
25  0.068408996381  0.068408996381  0.002678823792  -0.000000591782   0.071087228390  -0.072878442502
26  0.068409506166  0.068409506166  0.002662330441  -0.000001517332   0.071070319274  -0.072404449830
27  0.068409885573  0.068409885573  0.002671503319  -0.000000615602   0.071080773289  -0.072678594007
28  0.068409933206  0.068409933206  0.002661821222  -0.000000181591   0.071071572837  -0.072426940668
29  0.068481656925  0.068481656925  0.003297260265  -0.000081437556   0.071697479635  -0.087507038077
30  0.068532434925  0.068532434925  0.003286202539  -0.000129226264   0.071689411200  -0.085905744206
31  0.068534260609  0.068534260609  0.003322125708  -0.000135013715   0.071721372602  -0.086725779288
32  0.068878687610  0.068878687610  0.003187685456  -0.000004980264   0.072061392802  -0.086605864058
33  0.068914628995  0.068914628995  0.003189974781  -0.000036798016   0.072067805759  -0.085802354201
34  0.068957088458  0.068957088458  0.003170563666  -0.000079601717   0.072048050407  -0.084109401970
35  0.068962611387  0.068962611387  0.003174598781  -0.000083635186   0.072053574982  -0.084109446766
36  0.069066568082  0.069066568082  0.003315585477  -0.000006513694   0.072375639865  -0.090044475915
37  0.069163281816  0.069163281816  0.003350647266  -0.000105972691   0.072407956390  -0.088292137726
38  0.069176049650  0.069176049650  0.003325313142  -0.000118453892   0.072382908900  -0.087263129791
39  0.069223297569  0.069223297569  0.003322048406  -0.000163177721   0.072382168254  -0.085957293734
40  0.069344073800  0.069344073800  0.002906317143  -0.000006160545   0.072244230398  -0.078917321245
41  0.069352188625  0.069352188625  0.002865351698  -0.000002647272   0.072214893051  -0.077898195222
42  0.069353831944  0.069353831944  0.003001332743  -0.000009313405   0.072345851281  -0.081417035011
43  0.069363836269  0.069363836269  0.002885473385  -0.000017868515   0.072231441138  -0.078031543153
44  0.069379401634  0.069379401634  0.003007542333  -0.000011509154   0.072375434813  -0.081526257257
45  0.069419556539  0.069419556539  0.003077906828  -0.000040465714   0.072456997654  -0.082653025143
46  0.069457117505  0.069457117505  0.003095448157  -0.000086566070   0.072465999592  -0.081875894020
47  0.069508953271  0.069508953271  0.003082754913  -0.000134689450   0.072457018734  -0.080220988533
48  0.069789832264  0.069789832264  0.003168132501  -0.000007608103   0.072950356662  -0.086002293605
49  0.069855514761  0.069855514761  0.003147346441  -0.000071556469   0.072931304733  -0.083696551241
50  0.069883052573  0.069883052573  0.003139165037  -0.000094516561   0.072927701049  -0.082849147545
51  0.069935420415  0.069935420415  0.003134359203  -0.000145206886   0.072924572733  -0.081339019373
52  0.070107039538  0.070107039538  0.002906062356  -0.000002074274   0.073011027621  -0.079021581304
53  0.070126856486  0.070126856486  0.002926801336  -0.000025885565   0.073027772257  -0.078937979406
54  0.070146569384  0.070146569384  0.002940017325  -0.000050708636   0.073035878072  -0.078622134453
55  0.070146899811  0.070146899811  0.002959745183  -0.000055458089   0.073051186905  -0.079029717829
56  0.070341004606  0.070341004606  0.002852786585  -0.000000774217   0.073193016973  -0.077607249341
57  0.070352673680  0.070352673680  0.002866171866  -0.000015004214   0.073203841332  -0.077584263465
58  0.070359825526  0.070359825526  0.002896728715  -0.000031166199   0.073225388042  -0.077975967856
59  0.070365733992  0.070365733992  0.002896316758  -0.000037887721   0.073224163028  -0.077781855876
60  0.070425444339  0.070425444339  0.003214425706  -0.000005745795   0.073634124250  -0.087312672539
61  0.070500180165  0.070500180165  0.003222027074  -0.000080933408   0.073641273831  -0.085473556197
62  0.070508425907  0.070508425907  0.003222906005  -0.000088894250   0.073642437662  -0.085280847462
63  0.070519950460  0.070519950460  0.003190186507  -0.000094857615   0.073615279352  -0.084228232611
