i  a   sqrt(mu2)     Ea-Ei 	  f_osc       mu_x.re     mu_x.im     mu_y.re     mu_y.im     mu_z.re     mu_z.im
0  96  0.00002366 0.081436093861  0.00000000 -0.00000589 -0.00001297  0.00000284  0.00001764  0.00000603  0.00000603
0  97  0.00002343 0.081436093861  0.00000000  0.00000433  0.00000797 -0.00001547 -0.00000597  0.00001142  0.00001142
0  98  0.00713370 0.083140168901  0.00000282  0.00385673  0.00128078 -0.00417439  0.00402199  0.00003971  0.00003971
0  99  0.01504667 0.083140168901  0.00001255  0.00666636  0.00382586  0.00189568 -0.00000096 -0.00502268 -0.00502268
0  100  0.01324786 0.083212588764  0.00000974 -0.00720843 -0.00053669  0.00080268  0.00960495 -0.00505997 -0.00505997
0  101  0.01088180 0.083212588764  0.00000657  0.00922883  0.00062652 -0.00312835  0.00297888 -0.00305424 -0.00305424
0  102  0.03669172 0.083780812743  0.00007520 -0.00390767  0.00066177 -0.01640232 -0.02882139 -0.01036592 -0.01036592
0  103  0.06503841 0.083780812743  0.00023626 -0.00733264 -0.03616195  0.00275596 -0.03596820  0.03935811  0.03935811
0  104  0.00007552 0.084919435458  0.00000000  0.00003649  0.00004854  0.00000090  0.00003925 -0.00001160 -0.00001160
0  105  0.00005808 0.084919435458  0.00000000  0.00002819 -0.00000777  0.00004528 -0.00001254 -0.00001533 -0.00001533
0  106  0.00029311 0.085477160126  0.00000000  0.00009333  0.00019920  0.00007388  0.00013495 -0.00004450 -0.00004450
0  107  0.00020312 0.085477160126  0.00000000 -0.00008045 -0.00009205  0.00000417  0.00015306  0.00004914  0.00004914
0  108  0.00018958 0.085503179744  0.00000000 -0.00010072 -0.00006216 -0.00007168 -0.00004144  0.00011337  0.00011337
0  109  0.00018000 0.085503179744  0.00000000 -0.00006990 -0.00009093 -0.00006328 -0.00007704  0.00004058  0.00004058
0  110  0.00027411 0.085575619513  0.00000000  0.00015613  0.00017717  0.00000779 -0.00012741 -0.00005544 -0.00005544
0  111  0.00034729 0.085575619513  0.00000001 -0.00020622  0.00002895 -0.00022576  0.00003683  0.00015646  0.00015646
0  112  0.00033537 0.085625819321  0.00000001  0.00016806  0.00005998  0.00017424  0.00012770 -0.00016900 -0.00016900
0  113  0.00021790 0.085625819321  0.00000000  0.00018532 -0.00006798 -0.00006377  0.00005556 -0.00003437 -0.00003437
0  114  0.00003496 0.086919861915  0.00000000  0.00001900 -0.00002594  0.00000850  0.00000751 -0.00000280 -0.00000280
0  115  0.00005424 0.086919861915  0.00000000  0.00001109 -0.00005031 -0.00000674 -0.00000079 -0.00000954 -0.00000954
0  116  0.02517124 0.087188735487  0.00003683  0.00246129  0.00860708  0.00026876  0.00762498 -0.02209382 -0.02209382
0  117  0.02334463 0.087188735487  0.00003168 -0.00107028  0.00327893 -0.00011564  0.00033969 -0.02294010 -0.02294010
0  118  0.04491386 0.087367526222  0.00011750 -0.01872724  0.01288851  0.01006200 -0.00680341 -0.02712751 -0.02712751
0  119  0.03082584 0.087367526222  0.00005535 -0.00138617  0.01135144 -0.01493311 -0.01540892  0.00966998  0.00966998
0  120  0.03546532 0.087402527378  0.00007329  0.01285491  0.00232722  0.01170087  0.00189177  0.00192006  0.00192006
0  121  0.01182305 0.087402527378  0.00000815 -0.00463584  0.00710372 -0.00130005  0.00467670 -0.00037367 -0.00037367
0  122  0.13146293 0.087904992432  0.00101281 -0.09555555  0.06295096 -0.03021160  0.03519640  0.02752729  0.02752729
0  123  0.19927968 0.087904992432  0.00232728  0.03258218 -0.07855273  0.03058388 -0.16338729  0.06849043  0.06849043
0  124  0.36792922 0.087921201635  0.00793471  0.11783414 -0.01418655  0.00267257  0.17231637  0.27293515  0.27293515
0  125  0.33541475 0.087921201635  0.00659427  0.17034053 -0.11756288 -0.12941559 -0.13672894 -0.18304411 -0.18304411
0  126  0.25082186 0.088028902402  0.00369203  0.11835404 -0.12731095  0.11266054 -0.00994546  0.12726917  0.12726917
0  127  0.28070547 0.088028902402  0.00462419 -0.03465987  0.10781169 -0.06979244  0.23969010 -0.02524180 -0.02524180
0  128  0.34089028 0.088043949194  0.00682083  0.12696243  0.16802769 -0.13988180 -0.16159464  0.06360871  0.06360871
0  129  0.40648584 0.088043949194  0.00969838  0.06261371  0.07797692  0.08055464 -0.17088004 -0.20556124 -0.20556124
0  130  0.07014983 0.088746497542  0.00029115  0.01028975 -0.00476508  0.00177858  0.00137111 -0.01296093 -0.01296093
0  131  0.05110992 0.088746497542  0.00015455  0.00533871 -0.01445777  0.00373387 -0.00334461 -0.04633372 -0.04633372
0  132  0.10469781 0.088823998932  0.00064910  0.00088937 -0.04506019 -0.00046159 -0.05817282 -0.07438937 -0.07438937
0  133  0.06434359 0.088823998932  0.00024516  0.05488334  0.00776344 -0.01776488 -0.02612160 -0.00217129 -0.00217129
0  134  0.00007216 0.089576478725  0.00000000  0.00004525 -0.00002355  0.00004757  0.00000191  0.00000689  0.00000689
0  135  0.00014989 0.089576478725  0.00000000 -0.00007910 -0.00009154 -0.00006978 -0.00005211 -0.00000528 -0.00000528
0  136  0.00016154 0.089694041656  0.00000000  0.00007427 -0.00007837  0.00005482  0.00008705 -0.00004871 -0.00004871
0  137  0.00027110 0.089694041656  0.00000000  0.00015140  0.00013465  0.00015223 -0.00006922 -0.00006490 -0.00006490
0  138  0.00013655 0.089799036192  0.00000000  0.00010336 -0.00001531  0.00007111 -0.00000338  0.00004459  0.00004459
0  139  0.00016464 0.089799036193  0.00000000 -0.00007303 -0.00003266  0.00001516  0.00014148 -0.00001979 -0.00001979
0  140  0.00010458 0.089901999057  0.00000000 -0.00003360 -0.00006785 -0.00006476  0.00000793 -0.00003014 -0.00003014
0  141  0.00008945 0.089901999058  0.00000000 -0.00001224 -0.00005763  0.00000241  0.00005926  0.00000393  0.00000393
0  142  0.00025774 0.089948795972  0.00000000  0.00010457  0.00016387  0.00013188  0.00009426  0.00004757  0.00004757
0  143  0.00011381 0.089948795973  0.00000000 -0.00008194  0.00002795 -0.00005803  0.00001687  0.00002706  0.00002706
0  144  0.04601436 0.090041573599  0.00012710 -0.00560703  0.00250164 -0.04056068 -0.01562439  0.00576716  0.00576716
0  145  0.07740748 0.090041573601  0.00035968  0.01402164  0.05311937  0.03480696  0.04187574 -0.00189877 -0.00189877
0  146  0.00006336 0.090239391110  0.00000000  0.00002707 -0.00002260  0.00004913 -0.00001101  0.00001510  0.00001510
0  147  0.00014653 0.090239391112  0.00000000 -0.00004365  0.00006514  0.00008326 -0.00004228 -0.00003059 -0.00003059
0  148  0.00015455 0.090250891030  0.00000000  0.00002465 -0.00008887  0.00003462  0.00000593 -0.00010469 -0.00010469
0  149  0.00016405 0.090250891031  0.00000000  0.00005793 -0.00000338  0.00005136 -0.00008429 -0.00010444 -0.00010444
0  150  0.00051717 0.090501536449  0.00000002  0.00031087  0.00025638 -0.00010263 -0.00016069  0.00025003  0.00025003
0  151  0.00029795 0.090501536455  0.00000001 -0.00002646 -0.00007695 -0.00014344  0.00020218 -0.00012843 -0.00012843
0  152  0.00039761 0.090515238033  0.00000001  0.00016793 -0.00015124  0.00015011  0.00017635  0.00022964  0.00022964
0  153  0.00072898 0.090515238037  0.00000003  0.00030249  0.00024971  0.00027627  0.00015823  0.00042221  0.00042221
0  154  0.00021200 0.090686966483  0.00000000  0.00009756 -0.00015578  0.00000283 -0.00010356  0.00000188  0.00000188
0  155  0.00010130 0.090686966491  0.00000000 -0.00001640  0.00003902 -0.00007723 -0.00003931 -0.00002993 -0.00002993
0  156  0.00009458 0.091298703104  0.00000000 -0.00003617 -0.00008369 -0.00001744 -0.00001707  0.00000149  0.00000149
0  157  0.00015804 0.091298703138  0.00000000  0.00003790  0.00008272  0.00000828 -0.00012295  0.00000653  0.00000653
0  158  0.00008962 0.091318933843  0.00000000 -0.00004593  0.00005435 -0.00003262  0.00003282  0.00002546  0.00002546
0  159  0.00018607 0.091318933931  0.00000000  0.00003711  0.00012510  0.00003637  0.00012718  0.00000178  0.00000178
1  96  0.00001755 0.081436089445  0.00000000  0.00001522  0.00000185 -0.00000574 -0.00000081  0.00000627  0.00000627
1  97  0.00002142 0.081436089445  0.00000000  0.00001084 -0.00000772 -0.00001134  0.00000323 -0.00001097 -0.00001097
1  98  0.01504502 0.083140164486  0.00001255  0.00011196  0.00767908 -0.00092083  0.00165907  0.01272870  0.01272870
1  99  0.00712625 0.083140164486  0.00000281  0.00074488 -0.00399168 -0.00553467  0.00170353 -0.00074390 -0.00074390
1  100  0.01089144 0.083212584348  0.00000658 -0.00597104 -0.00707268 -0.00054773  0.00429187  0.00002283  0.00002283
