#n 	 E_n 	 <H> 	 <H_dir> 	 <H_exc> 	 <H_0> 	 E_B (eV)
0  0.068853764006  0.068853764006  0.003820915650  -0.000000000931   0.072674678725  -0.103972438776
1  0.068997301272  0.068997301272  0.003751401270  -0.000137591098   0.072611111444  -0.098336834117
2  0.068997301280  0.068997301280  0.003751401268  -0.000137591108   0.072611111440  -0.098336833791
3  0.068997301290  0.068997301290  0.003751401256  -0.000137591112   0.072611111434  -0.098336833353
4  0.070489211000  0.070489211000  0.003742017696  -0.000009236896   0.074221991800  -0.101574191473
5  0.070489211021  0.070489211021  0.003742017663  -0.000009236895   0.074221991789  -0.101574190579
6  0.070489211044  0.070489211044  0.003742017634  -0.000009236889   0.074221991789  -0.101574189965
7  0.070590724276  0.070590724276  0.003682944694  -0.000031363699   0.074242305271  -0.099364631106
8  0.070590724289  0.070590724289  0.003682944680  -0.000031363700   0.074242305269  -0.099364630694
9  0.070590724304  0.070590724304  0.003682944666  -0.000031363700   0.074242305270  -0.099364630278
10  0.070631838681  0.070631838681  0.003701839778  -0.000134093021   0.074199585438  -0.097083384115
11  0.070631838711  0.070631838711  0.003701839738  -0.000134093015   0.074199585434  -0.097083383180
12  0.070631838738  0.070631838738  0.003701839690  -0.000134093004   0.074199585425  -0.097083382193
13  0.070837782569  0.070837782569  0.003586290316  -0.000316770381   0.074107302504  -0.088968214770
14  0.070837782619  0.070837782619  0.003586290241  -0.000316770365   0.074107302495  -0.088968213154
15  0.070998414179  0.070998414179  0.003572207228  -0.000430288532   0.074140332874  -0.085496006389
16  0.071713976634  0.071713976634  0.002381866612  -0.000000288520   0.074095554727  -0.064806074117
17  0.071713976647  0.071713976647  0.002381866599  -0.000000288520   0.074095554726  -0.064806073751
18  0.071713976649  0.071713976649  0.002381866598  -0.000000288520   0.074095554727  -0.064806073715
19  0.071744857239  0.071744857239  0.002390482136  -0.000004613560   0.074130725815  -0.064922824179
20  0.071749343994  0.071749343994  0.002374574720  -0.000002992218   0.074120926496  -0.064534080099
21  0.071749344008  0.071749344008  0.002374574709  -0.000002992222   0.074120926496  -0.064534079697
22  0.071749344018  0.071749344018  0.002374574703  -0.000002992224   0.074120926496  -0.064534079462
23  0.071753164090  0.071753164090  0.002382766413  -0.000008107037   0.074127823467  -0.064617806155
24  0.071753164101  0.071753164101  0.002382766391  -0.000008107030   0.074127823462  -0.064617805724
25  0.071773134704  0.071773134704  0.002371567548  -0.000000198852   0.074144503400  -0.064528262138
