#n 	 E_n 	 <H> 	 <H_dir> 	 <H_exc> 	 <H_0> 	 E_B (eV)
0  0.064885674766  0.064885674766  0.004183514767  -0.000005122717   0.069064066816  -0.113699897441
1  0.065022615547  0.065022615547  0.004101232263  -0.000131244465   0.068992603345  -0.108028925959
2  0.065057695868  0.065057695868  0.004078412112  -0.000162725989   0.068973381991  -0.106551301372
3  0.065079685894  0.065079685894  0.004066900642  -0.000182631424   0.068963955112  -0.105696403405
4  0.066134716238  0.066134716238  0.004257900381  -0.000007291584   0.070385325035  -0.115665016224
5  0.066211061541  0.066211061541  0.004220869178  -0.000028744831   0.070403185888  -0.114073572471
6  0.066226944213  0.066226944213  0.004206279060  -0.000051084463   0.070382138810  -0.113068662253
7  0.066284025092  0.066284025092  0.004183324588  -0.000090096477   0.070377253203  -0.111382467411
8  0.066336970329  0.066336970329  0.004162350919  -0.000167555923   0.070331765325  -0.108703964553
9  0.066347488782  0.066347488782  0.004161207247  -0.000097208850   0.070411487179  -0.110587085970
10  0.066560947133  0.066560947133  0.003994670833  -0.000330951371   0.070224666595  -0.099694935781
11  0.066585569395  0.066585569395  0.004273849302  -0.000006709079   0.070852709618  -0.116114859473
12  0.066676287607  0.066676287607  0.003954982961  -0.000410934034   0.070220336534  -0.096438532989
13  0.066691718059  0.066691718059  0.004217697737  -0.000119201638   0.070790214159  -0.111525816761
14  0.066722241169  0.066722241169  0.004196824523  -0.000150951692   0.070768114001  -0.110093863954
15  0.067186599703  0.067186599703  0.003887168669  -0.000521563459   0.070552204913  -0.091582829603
16  0.067444924637  0.067444924637  0.004285747742  -0.000006170363   0.071724502016  -0.116453291904
17  0.067546396457  0.067546396457  0.004259609996  -0.000091907130   0.071714099323  -0.113409029758
18  0.067573909269  0.067573909269  0.002453059816  -0.000000102566   0.070026866519  -0.066748400910
19  0.067575786734  0.067575786734  0.002454577632  -0.000000705233   0.070029659132  -0.066773303378
20  0.067581452119  0.067581452119  0.002453935876  -0.000000806794   0.070034581201  -0.066753076698
21  0.067584534624  0.067584534624  0.002457134964  -0.000003023065   0.070038646523  -0.066779820528
22  0.067638013651  0.067638013651  0.002449438854  -0.000000831947   0.070086620559  -0.066630021993
23  0.067640680225  0.067640680225  0.002453903605  -0.000002475242   0.070092108587  -0.066706797744
24  0.067643871795  0.067643871795  0.002448748616  -0.000000189127   0.070092431283  -0.066628731664
25  0.067646108161  0.067646108161  0.002450481537  -0.000000807447   0.070095782251  -0.066659061549
26  0.067677825958  0.067677825958  0.004200304329  -0.000171444531   0.071706685757  -0.109630915512
27  0.067705066104  0.067705066104  0.004201339710  -0.000220152082   0.071686253732  -0.108333689020
28  0.067821074919  0.067821074919  0.004174857113  -0.000011296360   0.071984635672  -0.113296317062
29  0.067855533820  0.067855533820  0.004278264557  -0.000029098152   0.072104700224  -0.115625766700
30  0.067887331655  0.067887331655  0.004214622666  -0.000067953857   0.072034000464  -0.112836663629
31  0.067899256203  0.067899256203  0.004157040967  -0.000027780746   0.072028516424  -0.112362951584
32  0.067928228127  0.067928228127  0.004220692076  -0.000052395364   0.072096524839  -0.113425189131
33  0.067962834308  0.067962834308  0.004136728431  -0.000061222176   0.072038340562  -0.110900230903
34  0.067969163449  0.067969163449  0.004165644854  -0.000130012721   0.072004795582  -0.109815200236
35  0.067970483467  0.067970483467  0.004180959087  -0.000046937719   0.072104504835  -0.112492509058
36  0.068020081955  0.068020081955  0.004077368346  -0.000187589040   0.071909861261  -0.105846340592
37  0.068027568738  0.068027568738  0.004202899801  -0.000135128657   0.072095339882  -0.110689747706
38  0.068072023010  0.068072023010  0.002460933013  -0.000000134187   0.070532821836  -0.066961781173
39  0.068072998440  0.068072998440  0.002464525657  -0.000002093024   0.070535431074  -0.067006239372
40  0.068073200484  0.068073200484  0.002465656781  -0.000002711105   0.070536146160  -0.067020199978
41  0.068078362924  0.068078362924  0.002480782012  -0.000010983792   0.070548161143  -0.067206667277
42  0.068109184888  0.068109184888  0.003995518733  -0.000191569375   0.071913134246  -0.103510787550
43  0.068127242785  0.068127242785  0.004032092080  -0.000202992254   0.071956342611  -0.104195167008
44  0.068187869667  0.068187869667  0.004103763336  -0.000278488992   0.072013144011  -0.104091070277
45  0.068223905762  0.068223905762  0.004115758060  -0.000293761842   0.072045901981  -0.104001867902
46  0.068278540623  0.068278540623  0.004033572576  -0.000373223435   0.071938889765  -0.099603224640
